City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
202,Rabo De Peixe,PT,37.8,-25.5833,58.51,77,20,8.05,few clouds
203,Cockburn Town,TC,21.4612,-71.1419,77.56,69,0,19.26,clear sky
204,Lengshuitan,CN,26.4111,111.5956,57.33,74,98,3.47,overcast clouds
205,Mareeba,AU,-17.0,145.4333,72.32,93,68,3.11,broken clouds
206,Buala,SB,-8.145,159.5921,79.18,83,92,3.71,light rain
207,Matagami,CA,49.7502,-77.6328,14.11,85,100,4.61,overcast clouds
208,Baiyin,CN,36.5583,104.2081,53.51,19,0,8.55,clear sky
209,Sampit,ID,-2.5333,112.95,77.65,91,93,3.76,moderate rain
210,Shizunai,JP,42.3339,142.3669,36.37,80,37,11.25,scattered clouds
211,Neepawa,CA,50.2289,-99.4664,28.8,86,27,9.91,scattered clouds
212,Hithadhoo,MV,-0.6,73.0833,83.61,68,18,5.99,few clouds
213,Fortuna,US,40.5982,-124.1573,46.92,91,75,9.22,broken clouds
214,Sakakah,SA,29.9697,40.2064,96.37,8,100,3.22,overcast clouds
215,Kungurtug,RU,50.5994,97.5228,29.52,91,100,1.41,overcast clouds
216,Chuy,UY,-33.6971,-53.4616,60.53,65,2,3.33,clear sky
217,Aswan,EG,24.0934,32.907,103.78,7,76,9.06,broken clouds
218,Moss Vale,AU,-34.55,150.3833,55.15,79,99,7.52,overcast clouds
219,San Jeronimo,PE,-11.9472,-75.2829,50.07,78,99,2.73,overcast clouds
220,Alice Springs,AU,-23.7,133.8833,65.75,37,67,3.44,broken clouds
221,Magnolia,US,33.2671,-93.2393,47.89,81,100,4.09,overcast clouds
222,La Grande,US,45.3246,-118.0877,43.0,82,100,2.39,light rain
223,Byron Bay,AU,-28.65,153.6167,67.71,87,20,9.35,few clouds
224,Geraldton,AU,-28.7667,114.6,73.81,94,100,3.44,overcast clouds
225,Skibbereen,IE,51.55,-9.2667,51.12,63,97,11.65,overcast clouds
226,Cabedelo,BR,-6.9811,-34.8339,84.87,70,46,11.92,scattered clouds
227,Chicama,PE,-7.8447,-79.1469,63.14,83,100,5.06,overcast clouds
228,Codrington,AU,-38.2667,141.9667,56.35,87,75,8.5,broken clouds
229,Oswego,US,43.4501,-76.1497,34.11,65,56,4.0,broken clouds
230,Kampot,KH,10.6167,104.1833,80.65,77,68,1.86,light rain
231,Butaritari,KI,3.0707,172.7902,82.0,73,9,18.92,clear sky
232,Chapais,CA,49.7834,-74.8492,10.18,95,100,7.05,overcast clouds
233,Tiruchchendur,IN,8.4833,78.1167,91.69,68,8,19.06,clear sky
234,Kudahuvadhoo,MV,2.6708,72.8944,83.64,67,39,3.65,scattered clouds
235,Maraba,BR,-5.3686,-49.1178,80.78,89,40,3.44,scattered clouds
236,Ilulissat,GL,69.2167,-51.1,28.42,74,20,2.3,few clouds
237,Fukue,JP,32.6881,128.8419,53.06,60,96,16.55,overcast clouds
238,Ruthin,GB,53.1137,-3.3178,50.41,62,91,5.01,overcast clouds
239,Paamiut,GL,61.994,-49.6678,33.89,83,100,5.19,overcast clouds
240,Vilyuysk,RU,63.7553,121.6247,10.9,96,100,3.44,overcast clouds
241,Khao Wong,TH,16.7001,104.0902,58.96,81,100,11.83,overcast clouds
242,Berlevag,NO,70.8578,29.0864,24.8,80,100,1.21,light snow
243,Okhotsk,RU,59.3833,143.3,12.16,80,43,3.27,scattered clouds
244,Kruisfontein,ZA,-34.0033,24.7314,63.88,65,60,12.1,light rain
245,Susangerd,IR,31.5608,48.1831,96.57,7,8,9.13,clear sky
246,Ulm,DE,48.3984,9.9916,36.46,85,100,13.76,light snow
247,Lorengau,PG,-2.0226,147.2712,78.24,83,100,4.38,overcast clouds
248,Ketchikan,US,55.3422,-131.6461,42.78,87,100,11.5,moderate rain
249,At-Bashi,KG,41.1702,75.8106,42.28,61,23,3.38,few clouds
250,Honiara,SB,-9.4333,159.95,77.97,83,97,2.95,overcast clouds
251,Rio Tercero,AR,-32.173,-64.1141,57.45,57,0,11.21,clear sky
252,Lucapa,AO,-8.4192,20.7447,82.81,62,100,2.19,light rain
253,Penzance,GB,50.1186,-5.5371,47.08,93,40,12.66,scattered clouds
254,Visaginas,LT,55.6,26.4167,38.73,51,100,15.79,overcast clouds
255,Ilhabela,BR,-23.7781,-45.3581,73.4,90,100,4.94,overcast clouds
256,Kaitangata,NZ,-46.2817,169.8464,51.58,87,33,5.82,scattered clouds
257,Athabasca,CA,54.7169,-113.2854,28.81,90,100,4.97,overcast clouds
258,Tiznit,MA,29.5833,-9.5,68.77,45,41,5.01,scattered clouds
259,Baghmara,IN,23.795,86.2085,100.42,15,2,6.91,clear sky
260,Colac,AU,-38.3333,143.5833,58.17,93,100,4.61,overcast clouds
261,Ibra,OM,22.6906,58.5334,100.63,6,0,11.88,clear sky
262,Ulaangom,MN,49.9811,92.0667,21.88,95,100,1.68,overcast clouds
263,Kuruman,ZA,-27.4524,23.4325,74.98,44,27,18.57,scattered clouds
264,Porto Velho,BR,-8.7619,-63.9039,68.05,88,100,3.44,overcast clouds
265,Sao Filipe,CV,14.8961,-24.4956,71.46,77,29,10.2,scattered clouds
266,Kavaratti,IN,10.5669,72.642,83.53,70,76,8.3,broken clouds
267,Owando,CG,-0.4819,15.8999,80.89,68,100,4.63,overcast clouds
268,Baruun-Urt,MN,46.6806,113.2792,43.81,23,40,9.8,scattered clouds
269,Awbari,LY,26.5921,12.7805,87.89,10,100,14.32,overcast clouds
270,Kodiak,US,57.79,-152.4072,35.11,93,100,5.75,light rain
271,Dhidhdhoo,MV,6.8833,73.1,84.07,69,28,5.55,scattered clouds
272,Meulaboh,ID,4.1363,96.1285,80.04,81,100,3.76,heavy intensity rain
273,Qaanaaq,GL,77.484,-69.3632,13.66,88,100,4.74,overcast clouds
274,Coihaique,CL,-45.5752,-72.0662,49.95,93,100,6.91,light intensity shower rain
275,Calimanesti,RO,45.2333,24.3333,58.21,52,99,12.39,overcast clouds
276,Duminichi,RU,53.9345,35.1099,33.06,98,100,12.57,overcast clouds
277,Ambon,ID,-3.6954,128.1814,78.94,83,40,8.05,light rain
278,Kysyl-Syr,RU,63.8986,122.7617,16.07,97,100,1.32,overcast clouds
279,Aykhal,RU,66.0,111.5,13.95,95,100,11.56,light snow
280,Provideniya,RU,64.3833,-173.3,10.85,63,0,10.09,clear sky
281,Bethel,US,41.3712,-73.414,39.02,63,20,10.36,few clouds
282,La Ronge,CA,55.1001,-105.2842,8.85,92,40,0.0,scattered clouds
283,Bridgeton,US,39.4273,-75.2341,41.38,45,0,10.36,clear sky
284,Saint George,US,37.1041,-113.5841,48.79,46,0,3.44,clear sky
285,San Patricio,US,28.017,-97.5169,71.69,89,81,4.81,broken clouds
286,Cap Malheureux,MU,-19.9842,57.6142,75.47,91,100,13.0,heavy intensity rain
287,Haimen,CN,23.1935,116.6142,57.09,88,100,9.84,light rain
288,Ekimchan,RU,53.0667,132.9667,28.9,95,100,5.97,overcast clouds
289,Jalu,LY,29.0331,21.5482,86.23,8,100,8.72,overcast clouds
290,Mingguang,CN,32.7802,117.9638,52.02,58,4,8.39,clear sky
291,Norman Wells,CA,65.282,-126.8329,-29.16,68,0,0.0,clear sky
292,San Quintin,MX,30.4833,-115.95,58.28,81,90,4.09,overcast clouds
293,Gwanda,ZW,-20.9333,29.0,90.86,20,3,3.47,clear sky
294,Narsaq,GL,60.9167,-46.05,52.02,83,100,3.47,overcast clouds
