City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
393,Fernan-Nunez,ES,60.28,clear sky,37.6884,-4.7247,Villa Flamenca
394,Dingle,PH,78.21,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
400,Namatanai,PG,77.14,light rain,-3.6667,152.4333,Seagulls Inn Namatani
405,Karaton,ID,76.32,scattered clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
409,Pisco,PE,63.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
412,Iquitos,PE,71.64,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
415,Gushikawa,JP,61.83,light rain,26.3544,127.8686,Kirari Guest House
417,Lardos,GR,71.42,few clouds,36.0942,28.0157,Lindos Princess Beach Hotel
418,Asfi,MA,67.28,broken clouds,32.2994,-9.2372,Hôtel Abda
420,Upata,VE,75.09,broken clouds,8.0086,-62.3989,Posada Villa Nela
422,Champerico,GT,75.74,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
425,Saint-Joseph,RE,75.58,heavy intensity rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
432,Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
440,Ardesen,TR,68.32,broken clouds,41.1911,40.9875,Green Suada Hotel
447,Flinders,AU,63.18,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
448,Port-Gentil,GA,78.91,overcast clouds,-0.7193,8.7815,Fengshui Residence
449,Ankara,TR,74.32,few clouds,39.9199,32.8543,Ramada by Wyndham Ankara
453,Tarauaca,BR,62.87,overcast clouds,-8.1614,-70.7656,Flat Temporada
454,Ancud,CL,60.22,moderate rain,-41.8697,-73.8203,Hotel Arena Gruesa
457,Lemon Tree Passage,AU,63.77,scattered clouds,-32.7327,152.036,Koala Shores Port Stephens Holiday Park
459,Hami,CN,60.67,scattered clouds,42.8,93.45,Laoyutang Resort
461,Kuching,MY,75.42,heavy intensity rain,1.55,110.3333,Hilton Kuching
464,Bloemfontein,ZA,74.68,scattered clouds,-29.1211,26.214,Protea Hotel by Marriott Bloemfontein
466,Gangtok,IN,62.87,broken clouds,27.3333,88.6167,Hotel Le Primula
467,Alta Floresta,BR,73.89,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
468,Bushenyi,UG,75.88,light rain,-0.5853,30.2114,College View Guest House
469,Banjar,ID,77.94,overcast clouds,-8.19,114.9675,The Hamsa Resort
473,Makueni,KE,76.66,light rain,-1.8041,37.6203,WOTE TECHNICAL HOSTELS
476,Rocha,UY,64.65,clear sky,-34.4833,-54.3333,Hotel Arrarte
481,Batemans Bay,AU,62.1,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
482,Sarab,IR,72.23,broken clouds,38.6066,44.9883,مسجد امام رضا
495,Omboue,GA,77.67,overcast clouds,-1.5746,9.2618,Hotel Olako
501,Balikpapan,ID,78.46,heavy intensity rain,-1.2675,116.8289,Swiss-Belhotel Balikpapan
504,Vega De Alatorre,MX,72.91,overcast clouds,20.0333,-96.6333,Hotel Deluxe
505,Kawalu,ID,74.37,overcast clouds,-7.3817,108.2082,West Jontor
510,Zanjan,IR,74.89,clear sky,36.6736,48.4787,Qasr Hotel
517,Niquero,CU,79.36,clear sky,20.0431,-77.5828,Islazul Niquero
518,Pointe Michel,DM,77.94,scattered clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
519,Ribeira Brava,PT,65.12,broken clouds,32.65,-17.0667,Hotel do Campo
520,Sola,VU,78.44,overcast clouds,-13.8833,167.55,Leumerus Bungalows
524,Auriflama,BR,73.8,few clouds,-20.6856,-50.5547,Capoia´s Hotel
532,Graaff-Reinet,ZA,61.92,overcast clouds,-32.2522,24.5308,Rietjiesbos Self Catering
534,Itarema,BR,76.35,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
537,Bangkok,TH,75.9,overcast clouds,13.75,100.5167,Bangkok City Suite Hotel
539,Chimore,BO,65.41,broken clouds,-16.9833,-65.1333,Bichito
540,Katobu,ID,74.5,broken clouds,-4.9408,122.5276,La Ode Husein
541,Kailua,US,75.18,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
